Flight Number,Actual,Prediction,Prediction Percentage,Date
2413,0,not delayed,0.051208623,2024-05-16
2413,0,not delayed,0.040583074,2024-05-19
2414,0,not delayed,0.04256731,2024-05-19
2414,1,delayed,0.99604934,2024-05-15
2414,1,delayed,0.99601054,2024-05-16
2414,0,not delayed,0.42505807,2024-05-17
2414,1,delayed,0.9960511,2024-05-18
2415,0,not delayed,0.1910223,2024-05-16
2415,1,delayed,0.9965196,2024-05-18
2415,1,not delayed,0.07379749,2024-05-19
2415,0,not delayed,0.16420788,2024-05-15
2415,0,not delayed,0.04099552,2024-05-17
2416,0,not delayed,0.043065768,2024-05-16
2416,0,not delayed,0.03679822,2024-05-19
2416,1,delayed,0.98589665,2024-05-18
2416,0,not delayed,0.05250596,2024-05-15
2416,1,delayed,0.99671084,2024-05-17
2417,1,delayed,0.9968818,2024-05-18
2417,1,delayed,0.9960937,2024-05-16
2417,0,not delayed,0.044979714,2024-05-17
2417,1,delayed,0.9739028,2024-05-19
2417,0,delayed,0.57863,2024-05-15
2418,1,delayed,0.9967108,2024-05-16
2418,1,delayed,0.9083726,2024-05-17
2418,1,delayed,0.95293444,2024-05-19
2418,1,delayed,0.9950484,2024-05-18
2418,1,delayed,0.99605113,2024-05-15
2419,0,not delayed,0.04006976,2024-05-16
2419,1,delayed,0.99686533,2024-05-15
2419,0,not delayed,0.32741514,2024-05-18
2419,1,delayed,0.919044,2024-05-19
2419,0,not delayed,0.039401244,2024-05-17
242,0,not delayed,0.04046582,2024-05-19
242,0,not delayed,0.044244688,2024-05-16
242,1,delayed,0.9943158,2024-05-15
242,0,not delayed,0.05124968,2024-05-17
242,0,not delayed,0.046359863,2024-05-18
2420,0,not delayed,0.05287573,2024-05-15
2420,1,delayed,0.99688137,2024-05-19
2420,1,delayed,0.8718535,2024-05-18
2420,0,not delayed,0.04948972,2024-05-16
2420,1,delayed,0.9941219,2024-05-17
2421,1,delayed,0.99688154,2024-05-17
2421,0,not delayed,0.041353337,2024-05-19
2421,1,delayed,0.97981066,2024-05-15
2421,0,not delayed,0.049824998,2024-05-16
2421,0,not delayed,0.05077499,2024-05-18
2422,1,delayed,0.9968815,2024-05-17
2422,1,delayed,0.99664086,2024-05-19
2422,1,delayed,0.73528,2024-05-15
2422,1,delayed,0.9961929,2024-05-16
2422,0,not delayed,0.04310927,2024-05-18
2423,0,not delayed,0.075161815,2024-05-19
2423,1,delayed,0.9456593,2024-05-16
2423,0,not delayed,0.040086444,2024-05-15
2423,0,not delayed,0.044859067,2024-05-18
2423,1,delayed,0.98061395,2024-05-17
2424,1,delayed,0.9960484,2024-05-17
2424,1,delayed,0.9960497,2024-05-15
2424,0,not delayed,0.20678955,2024-05-19
2424,1,delayed,0.9963842,2024-05-18
2424,1,delayed,0.99688137,2024-05-16
2425,0,not delayed,0.043521106,2024-05-15
2425,1,delayed,0.9895901,2024-05-16
2425,1,delayed,0.9348074,2024-05-17
2425,1,delayed,0.99671084,2024-05-18
2425,0,not delayed,0.046062797,2024-05-19
2426,0,not delayed,0.04193684,2024-05-17
2426,0,not delayed,0.08156607,2024-05-15
2426,1,delayed,0.9873593,2024-05-19
2426,1,delayed,0.9967917,2024-05-18
2426,0,not delayed,0.039096247,2024-05-16
2427,0,not delayed,0.043167118,2024-05-18
2427,1,delayed,0.99719054,2024-05-19
2427,1,delayed,0.9941219,2024-05-15
2427,1,delayed,0.83741736,2024-05-16
2427,1,delayed,0.9959744,2024-05-17
2428,0,not delayed,0.04184773,2024-05-15
2428,1,delayed,0.9933135,2024-05-18
2428,0,not delayed,0.040193204,2024-05-16
2428,0,not delayed,0.10043884,2024-05-19
2428,0,not delayed,0.045613732,2024-05-17
2429,0,not delayed,0.04327231,2024-05-16
2429,0,not delayed,0.15706131,2024-05-18
2429,0,not delayed,0.039104015,2024-05-17
2429,1,delayed,0.99577004,2024-05-15
2429,0,not delayed,0.04897842,2024-05-19
243,0,not delayed,0.49933589,2024-05-18
243,0,not delayed,0.04504094,2024-05-19
243,0,not delayed,0.03934886,2024-05-17
243,0,not delayed,0.03972818,2024-05-15
243,1,delayed,0.9960512,2024-05-16
2430,0,not delayed,0.04055369,2024-05-15
2430,0,not delayed,0.04072869,2024-05-19
2430,0,not delayed,0.036250383,2024-05-17
2430,0,not delayed,0.043468166,2024-05-16
2430,1,delayed,0.92806655,2024-05-18
2431,0,not delayed,0.04444834,2024-05-16
2431,1,delayed,0.9953986,2024-05-19
2431,1,delayed,0.9972258,2024-05-15
2431,1,delayed,0.99671394,2024-05-18
2431,1,delayed,0.9960175,2024-05-17
2432,0,not delayed,0.039604917,2024-05-17
2432,1,delayed,0.996043,2024-05-19
2432,1,delayed,0.996879,2024-05-16
2432,0,not delayed,0.04916629,2024-05-15
2432,0,not delayed,0.047113337,2024-05-18
2433,1,delayed,0.97159183,2024-05-16
2433,0,not delayed,0.042780768,2024-05-19
2433,0,not delayed,0.19784619,2024-05-15
2433,1,delayed,0.99688154,2024-05-18
2433,1,delayed,0.9153314,2024-05-17
2434,0,not delayed,0.03994313,2024-05-15
2434,0,delayed,0.66812694,2024-05-18
2434,1,delayed,0.99563855,2024-05-17
2434,0,not delayed,0.04915335,2024-05-16
2434,0,not delayed,0.03840385,2024-05-19
2435,1,delayed,0.99537975,2024-05-16
2435,0,not delayed,0.040280152,2024-05-15
2435,0,not delayed,0.042542707,2024-05-18
2435,0,not delayed,0.07687293,2024-05-19
2435,1,delayed,0.9960512,2024-05-17
2436,1,not delayed,0.057384904,2024-05-18
2436,0,not delayed,0.04265118,2024-05-16
2436,1,delayed,0.995151,2024-05-19
2436,0,not delayed,0.3402506,2024-05-17
2436,0,not delayed,0.16835088,2024-05-15
2437,0,not delayed,0.046270635,2024-05-16
2437,1,delayed,0.59367454,2024-05-19
2437,1,delayed,0.9960929,2024-05-17
2437,0,not delayed,0.056968197,2024-05-18
2437,1,delayed,0.9972255,2024-05-15
2438,1,delayed,0.9956867,2024-05-15
2438,1,delayed,0.8921059,2024-05-18
2438,0,not delayed,0.03682468,2024-05-16
2438,1,delayed,0.9960512,2024-05-19
2438,0,delayed,0.55828947,2024-05-17
2439,1,delayed,0.874854,2024-05-15
2439,1,delayed,0.9963808,2024-05-19
2439,0,delayed,0.70112,2024-05-18
2439,0,not delayed,0.048911177,2024-05-17
2439,0,not delayed,0.055375174,2024-05-16
244,1,not delayed,0.057948694,2024-05-19
244,1,delayed,0.9968789,2024-05-16
244,1,delayed,0.9972258,2024-05-18
244,1,delayed,0.99671084,2024-05-15
244,1,delayed,0.9953686,2024-05-17
2440,1,delayed,0.99674803,2024-05-15
2440,0,not delayed,0.047216635,2024-05-18
2440,1,delayed,0.99687755,2024-05-19
2440,1,delayed,0.98655194,2024-05-16
2440,0,not delayed,0.043252796,2024-05-17
2441,0,not delayed,0.04434757,2024-05-18
2441,0,not delayed,0.05932089,2024-05-15
2441,0,not delayed,0.04226969,2024-05-19
2441,0,not delayed,0.21158533,2024-05-16
2441,0,not delayed,0.10569266,2024-05-17
2442,0,not delayed,0.05725622,2024-05-15
2442,0,not delayed,0.25284463,2024-05-17
2442,1,not delayed,0.37525165,2024-05-19
2442,0,not delayed,0.049141854,2024-05-18
2442,0,not delayed,0.041327097,2024-05-16
2443,1,delayed,0.99654555,2024-05-15
2443,0,not delayed,0.052448682,2024-05-19
2443,0,not delayed,0.05171456,2024-05-18
2443,1,delayed,0.9951935,2024-05-17
2443,0,not delayed,0.045687947,2024-05-16
2444,0,not delayed,0.040069986,2024-05-18
2444,0,not delayed,0.05133862,2024-05-17
2444,0,not delayed,0.037940644,2024-05-16
2444,0,not delayed,0.04012312,2024-05-19
2444,1,delayed,0.99688154,2024-05-15
2445,0,not delayed,0.05532084,2024-05-17
2445,1,not delayed,0.042934157,2024-05-19
2445,0,not delayed,0.038919862,2024-05-16
2445,1,delayed,0.9965022,2024-05-15
2445,1,delayed,0.99688154,2024-05-18
2446,0,not delayed,0.05260171,2024-05-17
2446,0,not delayed,0.037324425,2024-05-16
2446,0,not delayed,0.03790158,2024-05-19
2446,1,delayed,0.984212,2024-05-15
2446,0,not delayed,0.047854718,2024-05-18
2447,1,not delayed,0.41621575,2024-05-19
2447,1,delayed,0.9941219,2024-05-16
2447,0,not delayed,0.046519298,2024-05-17
2447,0,delayed,0.5107208,2024-05-18
2447,0,not delayed,0.043166462,2024-05-15
2448,0,not delayed,0.042615935,2024-05-15
2448,0,not delayed,0.03969672,2024-05-19
2448,0,not delayed,0.045824643,2024-05-17
2448,1,delayed,0.9968815,2024-05-18
2448,0,not delayed,0.043211177,2024-05-16
2449,0,not delayed,0.08186388,2024-05-17
2449,1,delayed,0.9960512,2024-05-15
2449,1,delayed,0.9958181,2024-05-19
2449,0,not delayed,0.057860848,2024-05-16
2449,0,not delayed,0.040710233,2024-05-18
245,1,delayed,0.92023665,2024-05-15
245,0,delayed,0.80034673,2024-05-16
245,0,not delayed,0.043481696,2024-05-19
245,0,not delayed,0.041273728,2024-05-17
245,1,delayed,0.9960512,2024-05-18
2450,0,not delayed,0.04636067,2024-05-19
2450,1,delayed,0.99613094,2024-05-16
2450,1,not delayed,0.124070294,2024-05-17
2450,1,delayed,0.9960583,2024-05-18
2450,1,delayed,0.9960512,2024-05-15
2451,0,not delayed,0.041445192,2024-05-18
2451,0,not delayed,0.04209363,2024-05-19
2451,0,not delayed,0.043004468,2024-05-15
2451,0,not delayed,0.04081765,2024-05-16
2451,0,not delayed,0.04764623,2024-05-17
2452,1,delayed,0.6964041,2024-05-16
2452,1,delayed,0.99605113,2024-05-15
2452,0,not delayed,0.044494417,2024-05-19
2452,0,not delayed,0.04006873,2024-05-18
2452,0,not delayed,0.039213084,2024-05-17
2453,0,not delayed,0.04277057,2024-05-15
2453,0,not delayed,0.30300534,2024-05-16
2453,0,not delayed,0.041728057,2024-05-18
2453,0,not delayed,0.094164155,2024-05-19
2453,0,not delayed,0.07466856,2024-05-17
2454,1,delayed,0.9944568,2024-05-16
2454,0,not delayed,0.050374005,2024-05-17
2454,0,not delayed,0.041729115,2024-05-15
2454,0,not delayed,0.14246981,2024-05-19
2454,1,delayed,0.8280721,2024-05-18
2455,1,delayed,0.8982988,2024-05-19
2455,0,not delayed,0.039155997,2024-05-15
2455,0,not delayed,0.045482554,2024-05-18
2455,0,not delayed,0.12865831,2024-05-17
2455,1,delayed,0.99685484,2024-05-16
2456,1,delayed,0.99688154,2024-05-15
2456,0,not delayed,0.039042648,2024-05-18
2456,0,not delayed,0.48131207,2024-05-17
2456,0,not delayed,0.048502512,2024-05-19
2456,1,delayed,0.69648534,2024-05-16
2457,1,delayed,0.99722576,2024-05-16
2457,0,not delayed,0.1433472,2024-05-19
2457,0,not delayed,0.037032653,2024-05-17
2457,0,not delayed,0.043619365,2024-05-18
2457,0,not delayed,0.027494008,2024-05-15
2458,0,not delayed,0.042319342,2024-05-15
2458,1,delayed,0.856366,2024-05-19
2458,1,delayed,0.99688154,2024-05-16
2458,1,delayed,0.9960511,2024-05-17
2458,0,not delayed,0.04304447,2024-05-18
2459,0,not delayed,0.038935985,2024-05-15
2459,0,not delayed,0.23442277,2024-05-19
2459,1,delayed,0.91711456,2024-05-18
2459,0,not delayed,0.04399153,2024-05-16
2459,1,delayed,0.9941219,2024-05-17
246,0,not delayed,0.042521358,2024-05-16
246,1,delayed,0.99580526,2024-05-17
246,0,not delayed,0.038356792,2024-05-19
246,0,not delayed,0.03955546,2024-05-15
246,1,delayed,0.98271644,2024-05-18
2460,0,not delayed,0.041255254,2024-05-16
2460,0,not delayed,0.047069494,2024-05-19
2460,0,not delayed,0.039159082,2024-05-17
2460,0,not delayed,0.038654637,2024-05-15
2460,1,delayed,0.9972258,2024-05-18
2461,0,not delayed,0.044355232,2024-05-15
2461,0,not delayed,0.04479352,2024-05-18
2461,1,delayed,0.99577385,2024-05-17
2461,0,not delayed,0.043073244,2024-05-19
2461,0,not delayed,0.04469845,2024-05-16
2462,1,delayed,0.99687904,2024-05-16
2462,1,delayed,0.99192333,2024-05-15
2462,1,delayed,0.99409944,2024-05-18
2462,0,not delayed,0.26996705,2024-05-19
2462,0,not delayed,0.039131645,2024-05-17
2463,1,delayed,0.8553412,2024-05-16
2463,0,not delayed,0.05305539,2024-05-18
2463,1,delayed,0.9968812,2024-05-17
2463,0,not delayed,0.041543737,2024-05-15
2463,1,delayed,0.9968562,2024-05-19
2464,0,not delayed,0.041652333,2024-05-18
2464,0,not delayed,0.045318373,2024-05-19
2464,1,delayed,0.99627006,2024-05-17
2464,0,not delayed,0.036890753,2024-05-15
2464,0,not delayed,0.04147286,2024-05-16
2465,1,delayed,0.9960512,2024-05-15
2465,0,not delayed,0.046256367,2024-05-16
2465,1,delayed,0.99604565,2024-05-19
2465,0,not delayed,0.036911387,2024-05-18
2465,1,delayed,0.96677184,2024-05-17
2466,1,delayed,0.9956067,2024-05-19
2466,0,not delayed,0.09125673,2024-05-17
2466,1,delayed,0.99686956,2024-05-18
2466,1,delayed,0.9960512,2024-05-15
2466,1,delayed,0.99575645,2024-05-16
2467,1,delayed,0.99663323,2024-05-15
2467,1,delayed,0.9966927,2024-05-18
2467,0,not delayed,0.040496092,2024-05-17
2467,0,not delayed,0.039854795,2024-05-16
2467,0,not delayed,0.04512878,2024-05-19
2468,0,not delayed,0.0834026,2024-05-17
2468,0,not delayed,0.043492105,2024-05-19
2468,1,delayed,0.97872365,2024-05-18
2468,0,not delayed,0.04475469,2024-05-15
2468,0,not delayed,0.06951279,2024-05-16
2469,1,delayed,0.99671084,2024-05-16
2469,1,delayed,0.9923391,2024-05-18
2469,1,delayed,0.99688154,2024-05-17
2469,1,delayed,0.98998004,2024-05-15
2469,0,not delayed,0.046651844,2024-05-19
247,1,not delayed,0.3111018,2024-05-18
247,1,delayed,0.9515875,2024-05-17
247,0,not delayed,0.08961447,2024-05-19
247,0,delayed,0.76560694,2024-05-15
247,0,not delayed,0.04165893,2024-05-16
2470,0,not delayed,0.040592812,2024-05-17
2470,1,delayed,0.7873821,2024-05-18
2470,1,delayed,0.99605113,2024-05-16
2470,0,not delayed,0.036632024,2024-05-15
2470,1,delayed,0.99557775,2024-05-19
2471,0,not delayed,0.038115334,2024-05-17
2471,0,not delayed,0.03930804,2024-05-19
2471,0,not delayed,0.044838388,2024-05-18
2471,1,delayed,0.91420937,2024-05-16
2471,0,not delayed,0.041085158,2024-05-15
2472,0,not delayed,0.33981076,2024-05-18
2472,0,not delayed,0.041897338,2024-05-15
2472,1,not delayed,0.070639424,2024-05-16
2472,0,not delayed,0.0457732,2024-05-17
2472,1,delayed,0.995485,2024-05-19
2473,1,delayed,0.99688107,2024-05-16
2473,1,delayed,0.99551016,2024-05-19
2473,0,not delayed,0.29629305,2024-05-18
2473,0,not delayed,0.044358518,2024-05-17
2473,0,not delayed,0.039802257,2024-05-15
2474,1,delayed,0.9960512,2024-05-17
2474,1,delayed,0.996295,2024-05-16
2474,0,delayed,0.9768458,2024-05-19
2474,0,not delayed,0.045268733,2024-05-15
2474,0,not delayed,0.04158469,2024-05-18
2475,0,not delayed,0.041169684,2024-05-15
2475,1,delayed,0.8756813,2024-05-16
2475,0,not delayed,0.04431346,2024-05-17
2475,1,delayed,0.62417793,2024-05-18
2475,0,not delayed,0.040486846,2024-05-19
2476,0,not delayed,0.04502776,2024-05-15
2476,0,not delayed,0.050743204,2024-05-19
2476,1,delayed,0.7895851,2024-05-18
2476,0,not delayed,0.060828462,2024-05-16
2476,0,not delayed,0.042156864,2024-05-17
2477,1,delayed,0.99633867,2024-05-19
2477,1,delayed,0.9941221,2024-05-18
2477,0,not delayed,0.040344387,2024-05-16
2477,1,delayed,0.99688154,2024-05-15
2477,0,not delayed,0.04597133,2024-05-17
2478,0,not delayed,0.044540223,2024-05-19
2478,0,not delayed,0.07842775,2024-05-15
2478,0,not delayed,0.06630036,2024-05-16
2478,0,not delayed,0.04019744,2024-05-18
2478,1,delayed,0.99688154,2024-05-17
2479,1,delayed,0.99414414,2024-05-19
2479,0,not delayed,0.041299835,2024-05-15
2479,0,not delayed,0.052021056,2024-05-16
2479,1,delayed,0.9968814,2024-05-17
2479,0,not delayed,0.04388311,2024-05-18
248,1,delayed,0.99688154,2024-05-17
248,0,not delayed,0.094080895,2024-05-19
248,1,not delayed,0.34630615,2024-05-16
248,1,delayed,0.99110997,2024-05-15
248,0,not delayed,0.042365488,2024-05-18
2480,0,not delayed,0.050722286,2024-05-15
2480,0,not delayed,0.039635863,2024-05-18
2480,1,delayed,0.9955403,2024-05-16
2480,1,not delayed,0.053340305,2024-05-17
2480,0,not delayed,0.03993553,2024-05-19
2481,0,not delayed,0.04113662,2024-05-18
2481,0,not delayed,0.046395727,2024-05-16
2481,0,not delayed,0.043920293,2024-05-17
2481,1,delayed,0.9460489,2024-05-15
2481,0,not delayed,0.044887293,2024-05-19
2482,1,delayed,0.994995,2024-05-19
2482,1,delayed,0.99705267,2024-05-17
2482,0,not delayed,0.090654634,2024-05-16
2482,1,delayed,0.9918145,2024-05-15
2482,0,not delayed,0.09097585,2024-05-18
2483,0,not delayed,0.054411806,2024-05-17
2483,0,not delayed,0.04004296,2024-05-19
2483,0,not delayed,0.040155336,2024-05-15
2483,0,not delayed,0.038967554,2024-05-16
2483,0,not delayed,0.04212604,2024-05-18
2484,1,delayed,0.99671084,2024-05-17
2484,1,delayed,0.99671084,2024-05-19
2484,1,delayed,0.7992709,2024-05-15
2484,1,delayed,0.9968808,2024-05-16
2484,1,delayed,0.996075,2024-05-18
2485,1,delayed,0.99688154,2024-05-18
2485,0,not delayed,0.06177393,2024-05-17
2485,0,not delayed,0.04193493,2024-05-19
2485,0,not delayed,0.048607316,2024-05-15
2485,0,not delayed,0.38966724,2024-05-16
2486,0,not delayed,0.03649449,2024-05-19
2486,0,not delayed,0.04265772,2024-05-17
2486,0,not delayed,0.04558777,2024-05-18
2486,0,not delayed,0.038837027,2024-05-16
2486,1,delayed,0.9968811,2024-05-15
2487,0,not delayed,0.04204746,2024-05-18
2487,1,delayed,0.9939033,2024-05-17
2487,1,delayed,0.858656,2024-05-15
2487,0,not delayed,0.041516714,2024-05-19
2487,0,not delayed,0.20716697,2024-05-16
2488,0,not delayed,0.283735,2024-05-18
2488,1,not delayed,0.04597133,2024-05-19
2488,1,delayed,0.98782396,2024-05-15
2488,0,not delayed,0.041593146,2024-05-17
2488,1,delayed,0.99671024,2024-05-16
2489,1,delayed,0.9968597,2024-05-18
2489,1,delayed,0.9961521,2024-05-16
2489,0,delayed,0.56437135,2024-05-17
2489,1,delayed,0.99374807,2024-05-19
2489,1,delayed,0.99684745,2024-05-15
249,1,delayed,0.99688154,2024-05-18
249,1,delayed,0.9965029,2024-05-15
249,0,not delayed,0.042055365,2024-05-16
249,1,delayed,0.9922619,2024-05-19
249,0,not delayed,0.044299055,2024-05-17
2490,0,not delayed,0.047697004,2024-05-16
2490,0,not delayed,0.040481243,2024-05-15
2490,1,delayed,0.8003901,2024-05-18
2490,0,not delayed,0.22927001,2024-05-17
2490,1,delayed,0.9959371,2024-05-19
2491,0,not delayed,0.036824737,2024-05-17
2491,1,delayed,0.9941219,2024-05-19
2491,0,not delayed,0.036409326,2024-05-18
2491,0,not delayed,0.08502707,2024-05-15
2491,0,not delayed,0.05816113,2024-05-16
2492,0,not delayed,0.04358517,2024-05-17
2492,0,not delayed,0.33979538,2024-05-18
2492,0,not delayed,0.043442897,2024-05-19
2492,0,not delayed,0.049718503,2024-05-15
2492,1,delayed,0.99688154,2024-05-16
2493,1,delayed,0.99221617,2024-05-15
2493,0,not delayed,0.03798528,2024-05-18
2493,1,delayed,0.99665004,2024-05-17
2493,0,not delayed,0.039065294,2024-05-16
2493,1,delayed,0.9968814,2024-05-19
2494,0,not delayed,0.041838605,2024-05-19
2494,1,delayed,0.9957485,2024-05-18
2494,1,not delayed,0.4426726,2024-05-16
2494,1,delayed,0.9960512,2024-05-17
2494,0,not delayed,0.0432252,2024-05-15
2495,1,delayed,0.99686927,2024-05-17
2495,0,not delayed,0.05503472,2024-05-18
2495,0,not delayed,0.040321317,2024-05-19
2495,1,delayed,0.9571436,2024-05-16
2495,1,delayed,0.99688154,2024-05-15
2496,1,delayed,0.9941259,2024-05-19
2496,1,delayed,0.99688154,2024-05-17
2496,0,not delayed,0.040305264,2024-05-18
2496,1,delayed,0.9925145,2024-05-15
2496,0,not delayed,0.03998192,2024-05-16
2497,1,delayed,0.9436534,2024-05-16
2497,0,not delayed,0.039540645,2024-05-17
2497,0,not delayed,0.04330186,2024-05-18
2497,1,delayed,0.9968801,2024-05-15
2497,1,delayed,0.9882026,2024-05-19
2498,1,delayed,0.9661219,2024-05-15
2498,0,not delayed,0.047563717,2024-05-18
2498,1,delayed,0.99688154,2024-05-16
2498,0,not delayed,0.04376771,2024-05-19
2498,1,delayed,0.9960152,2024-05-17
2499,0,not delayed,0.041031517,2024-05-15
2499,0,not delayed,0.15790027,2024-05-17
2499,1,delayed,0.9966414,2024-05-18
2499,0,not delayed,0.044503897,2024-05-19
2499,0,not delayed,0.041229926,2024-05-16
25,0,not delayed,0.4815935,2024-05-15
25,1,delayed,0.994839,2024-05-17
25,0,delayed,0.61994225,2024-05-19
25,1,delayed,0.99605364,2024-05-18
25,0,not delayed,0.042228144,2024-05-16
250,0,not delayed,0.0451329,2024-05-17
250,1,delayed,0.73614407,2024-05-18
250,1,delayed,0.99114513,2024-05-15
250,0,not delayed,0.040050056,2024-05-19
250,1,delayed,0.9960512,2024-05-16
2500,0,not delayed,0.03656454,2024-05-15
2500,1,delayed,0.88223773,2024-05-18
2500,0,not delayed,0.04986456,2024-05-19
2500,1,delayed,0.9914321,2024-05-16
2500,1,delayed,0.8354422,2024-05-17
2501,0,not delayed,0.039125703,2024-05-18
2501,0,not delayed,0.036673706,2024-05-19
2501,0,not delayed,0.054362096,2024-05-15
2501,1,delayed,0.9962153,2024-05-17
2501,0,not delayed,0.048906785,2024-05-16
2502,1,delayed,0.9941219,2024-05-17
2502,0,not delayed,0.040501215,2024-05-18
2502,0,delayed,0.647633,2024-05-15
2502,1,delayed,0.9968812,2024-05-16
2502,0,not delayed,0.049232136,2024-05-19
2503,0,not delayed,0.03935183,2024-05-18
2503,1,delayed,0.98305374,2024-05-15
2503,0,not delayed,0.039164297,2024-05-17
2503,1,not delayed,0.05241966,2024-05-19
2503,1,delayed,0.99688154,2024-05-16
2504,0,not delayed,0.04193811,2024-05-18
2504,0,not delayed,0.043121964,2024-05-16
2504,1,delayed,0.9967059,2024-05-15
2504,1,not delayed,0.20206901,2024-05-17
2504,0,not delayed,0.048605587,2024-05-19
2505,0,not delayed,0.04148305,2024-05-17
2505,0,not delayed,0.049665183,2024-05-16
2505,0,not delayed,0.039499775,2024-05-15
2505,0,not delayed,0.06951812,2024-05-18
2505,0,not delayed,0.044724222,2024-05-19
2506,1,delayed,0.99083924,2024-05-16
2506,0,not delayed,0.048874535,2024-05-17
2506,1,delayed,0.90541714,2024-05-19
2506,1,delayed,0.996051,2024-05-15
2506,0,not delayed,0.09828541,2024-05-18
2507,0,not delayed,0.040532414,2024-05-15
2507,1,delayed,0.99688154,2024-05-18
2507,0,not delayed,0.05345759,2024-05-17
2507,1,delayed,0.99579984,2024-05-19
2507,0,not delayed,0.19394322,2024-05-16
2508,1,delayed,0.8205411,2024-05-15
2508,1,delayed,0.72311544,2024-05-16
2508,0,not delayed,0.11738028,2024-05-18
2508,0,not delayed,0.041736,2024-05-17
2508,1,delayed,0.9966875,2024-05-19
2509,1,delayed,0.99687916,2024-05-18
2509,1,delayed,0.99688154,2024-05-19
2509,1,delayed,0.9968814,2024-05-17
2509,1,delayed,0.95688224,2024-05-16
2509,0,not delayed,0.041047897,2024-05-15
251,0,not delayed,0.041688476,2024-05-17
251,0,not delayed,0.040355347,2024-05-15
251,1,delayed,0.9967108,2024-05-18
251,0,not delayed,0.049194228,2024-05-19
251,1,delayed,0.99586636,2024-05-16
2510,0,not delayed,0.07086812,2024-05-17
2510,1,delayed,0.99604094,2024-05-18
2510,0,not delayed,0.044289112,2024-05-19
2510,0,not delayed,0.04252759,2024-05-15
2510,1,delayed,0.97354037,2024-05-16
2511,0,not delayed,0.040477343,2024-05-15
2511,1,delayed,0.99407864,2024-05-18
2511,0,not delayed,0.043132097,2024-05-17
2511,0,not delayed,0.03883648,2024-05-19
2511,0,not delayed,0.039342847,2024-05-16
2512,1,delayed,0.99609333,2024-05-18
2512,0,not delayed,0.054545067,2024-05-17
2512,1,delayed,0.99687713,2024-05-19
2512,1,delayed,0.9960167,2024-05-16
2512,1,delayed,0.9940779,2024-05-15
2513,0,not delayed,0.04689586,2024-05-18
2513,0,delayed,0.68110645,2024-05-17
2513,0,not delayed,0.039660145,2024-05-15
2513,0,not delayed,0.04255995,2024-05-19
2513,0,not delayed,0.03944679,2024-05-16
2514,1,delayed,0.9960494,2024-05-18
2514,1,delayed,0.99671185,2024-05-15
2514,1,delayed,0.99688154,2024-05-17
2514,1,delayed,0.99512905,2024-05-16
2514,0,not delayed,0.047682263,2024-05-19
2515,1,delayed,0.9957021,2024-05-15
2515,1,delayed,0.98606044,2024-05-19
2515,1,delayed,0.99688154,2024-05-17
2515,0,not delayed,0.09824379,2024-05-16
2515,1,delayed,0.9676558,2024-05-18
2516,1,delayed,0.99688154,2024-05-15
2516,0,not delayed,0.039301146,2024-05-17
2516,1,delayed,0.9966923,2024-05-19
2516,1,delayed,0.9959921,2024-05-16
2516,0,delayed,0.9045549,2024-05-18
2517,1,delayed,0.987713,2024-05-17
2517,1,delayed,0.99686813,2024-05-15
2517,0,not delayed,0.043451615,2024-05-18
2517,0,not delayed,0.07267817,2024-05-19
2517,0,not delayed,0.039762802,2024-05-16
2518,0,not delayed,0.05906857,2024-05-19
2518,0,not delayed,0.048694838,2024-05-15
2518,0,delayed,0.59422535,2024-05-16
2518,0,not delayed,0.04641039,2024-05-18
2518,0,not delayed,0.046808545,2024-05-17
2519,0,not delayed,0.052117754,2024-05-15
2519,0,not delayed,0.055213794,2024-05-18
2519,0,not delayed,0.04518,2024-05-19
2519,0,not delayed,0.03699895,2024-05-16
2519,0,not delayed,0.03928956,2024-05-17
252,1,delayed,0.9968722,2024-05-15
252,1,delayed,0.5866539,2024-05-18
252,1,delayed,0.9968327,2024-05-16
252,0,delayed,0.599776,2024-05-17
252,1,delayed,0.99403006,2024-05-19
2520,1,delayed,0.99604464,2024-05-19
2520,0,not delayed,0.05223022,2024-05-15
2520,0,not delayed,0.04557407,2024-05-17
2520,0,not delayed,0.037175007,2024-05-16
2520,0,not delayed,0.040211897,2024-05-18
2521,1,delayed,0.99688154,2024-05-15
2521,1,delayed,0.99416506,2024-05-18
2521,1,delayed,0.78380716,2024-05-19
2521,1,delayed,0.9960511,2024-05-17
2521,0,not delayed,0.03663176,2024-05-16
2522,1,delayed,0.9932795,2024-05-19
2522,0,not delayed,0.041541807,2024-05-16
2522,1,delayed,0.9222784,2024-05-17
2522,0,not delayed,0.039844915,2024-05-18
2522,1,delayed,0.9969346,2024-05-15
2523,1,delayed,0.9961876,2024-05-18
2523,0,not delayed,0.039844457,2024-05-19
2523,1,delayed,0.95302343,2024-05-17
2523,0,not delayed,0.037705135,2024-05-16
2523,0,not delayed,0.040612597,2024-05-15
2524,0,not delayed,0.04256156,2024-05-15
2524,0,not delayed,0.05437737,2024-05-18
2524,0,not delayed,0.46529678,2024-05-17
2524,1,delayed,0.99570537,2024-05-19
2524,1,delayed,0.9968815,2024-05-16
2525,0,not delayed,0.041063074,2024-05-17
2525,0,not delayed,0.03633788,2024-05-18
2525,0,not delayed,0.03643273,2024-05-19
2525,0,not delayed,0.04202269,2024-05-15
2525,0,not delayed,0.039169308,2024-05-16
2526,1,delayed,0.99600905,2024-05-16
